actual,proposed
-6.154409408569336,-6.154409408569336
-6.154409408569336,-6.148626804351807
-6.06773042678833,-6.154409408569336
-6.062010288238525,-6.06773042678833
-6.050564289093018,-6.062010288238525
-6.050564289093018,-6.050564289093018
-5.932002067565918,-6.033381462097168
-5.9150071144104,-5.932002067565918
-5.926339149475098,-5.9150071144104
-5.919516086578369,-5.926339149475098
-5.902513027191162,-5.920673847198486
-5.9138503074646,-5.919516086578369
-5.919516086578369,-5.902513027191162
-5.908182621002197,-5.919516086578369
-5.82130765914917,-5.908182621002197
-5.82130765914917,-5.82130765914917
-5.815697193145752,-5.82130765914917
-5.815697193145752,-5.815697193145752
-5.815697193145752,-5.815697193145752
-5.810084819793701,-5.815697193145752
-5.723479747772217,-5.810084819793701
-5.717926025390625,-5.810084819793701
-5.7123703956604,-5.723479747772217
-5.706813812255859,-5.7123703956604
-5.539449691772461,-5.555794715881348
-5.539449691772461,-5.5448994636535645
-5.450235843658447,-5.539449691772461
-5.444855690002441,-5.539449691772461
-5.439474105834961,-5.450235843658447
-5.434090614318848,-5.439474105834961
-5.390028953552246,-5.400792598724365
-5.390028953552246,-5.390028953552246
-5.37925910949707,-5.390028953552246
-5.363092422485352,-5.37925910949707
-5.299263000488281,-5.363092422485352
-5.288547992706299,-5.299263000488281
-5.267101764678955,-5.288547992706299
-5.256369113922119,-5.261730194091797
-5.229514122009277,-5.234911918640137
-5.017873287200928,-5.197455406188965
-5.007438659667969,-4.955887794494629
-4.991777420043945,-4.955887794494629
-4.9708781242370605,-4.893983364105225
-4.801388263702393,-4.863148212432861
-4.79121208190918,-4.686820983886719
-4.786121845245361,-4.671868324279785
-4.786121845245361,-4.666887283325195
-4.786121845245361,-4.666887283325195
-4.539906024932861,-4.666887283325195
-4.544774532318115,-4.430781841278076
-4.544774532318115,-4.430781841278076
-4.3500261306762695,-4.42602014541626
-4.354715824127197,-4.240348815917969
-4.3640923500061035,-4.249517440795898
-4.368779182434082,-4.267875671386719
-4.378150463104248,-4.267875671386719
-4.240907669067383,-4.160529136657715
-4.254521369934082,-4.191848278045654
-4.087069034576416,-4.196325302124023
-4.0914306640625,-4.209771156311035
-4.095791816711426,-4.056864261627197
-4.1045122146606445,-4.061192512512207
-3.991050958633423,-4.069851398468018
-4.003758430480957,-3.991050958633423
-4.012226581573486,-4.003758430480957
-4.033385276794434,-4.012226581573486
-4.0545268058776855,-4.033385276794434
-3.9935684204101562,-4.0545268058776855
-3.9977283477783203,-3.9935684204101562
-3.9977283477783203,-3.9977283477783203
-4.01436185836792,-3.9977283477783203
-4.026830196380615,-4.006046295166016
-3.8256213665008545,-4.026830196380615
-3.8295836448669434,-3.8256213665008545
-3.8414673805236816,-3.8295836448669434
-3.849386692047119,-3.8414673805236816
-3.8533456325531006,-3.849386692047119
-3.7159481048583984,-3.71213436126709
-3.7159481048583984,-3.71213436126709
-3.6358752250671387,-3.7159481048583984
-3.6358752250671387,-3.7159481048583984
-3.6358752250671387,-3.7197611331939697
-3.632140874862671,-3.6358752250671387
-3.628406047821045,-3.6358752250671387
-3.507593870162964,-3.628406047821045
-3.5148255825042725,-3.507593870162964
-3.5039772987365723,-3.5148255825042725
-3.4967427253723145,-3.5039772987365723
-3.4931247234344482,-3.4967427253723145
-3.3597419261932373,-3.4931247234344482
-3.3597419261932373,-3.3597419261932373
-3.3597419261932373,-3.3597419261932373
-3.3597419261932373,-3.3597419261932373
-3.3597419261932373,-3.3597419261932373
-3.1790361404418945,-3.3597419261932373
-3.1790361404418945,-3.1790361404418945
-3.1823501586914062,-3.1790361404418945
-3.1757216453552246,-3.1823501586914062
-2.975708246231079,-3.1757216453552246
-2.9663443565368652,-2.975708246231079
-2.9632225036621094,-2.9663443565368652
-2.9663443565368652,-2.9632225036621094
-2.9632225036621094,-2.9632225036621094
-2.7339043617248535,-2.9663443565368652
-2.7281012535095215,-2.7339043617248535
-2.7193949222564697,-2.722297191619873
-2.7193949222564697,-2.7193949222564697
-2.6327948570251465,-2.7193949222564697
-2.624342679977417,-2.6327948570251465
-2.6187069416046143,-2.624342679977417
-2.615889072418213,-2.6187069416046143
-2.53105092048645,-2.53105092048645
-2.5201637744903564,-2.53105092048645
-2.511996269226074,-2.5201637744903564
-2.3205230236053467,-2.3230535984039307
-2.3205230236053467,-2.3205230236053467
-2.3179922103881836,-2.3205230236053467
-2.1122145652770996,-2.3179922103881836
-2.109894037246704,-2.107583999633789
-2.100611686706543,-2.0890963077545166
-2.0959696769714355,-2.084489583969116
-2.093648672103882,-2.072986364364624
-1.8655825853347778,-2.072986364364624
-1.8635015487670898,-1.834812045097351
-1.8614202737808228,-1.8327622413635254
-1.8593391180038452,-1.8307147026062012
-1.726046085357666,-1.6956309080123901
-1.7241113185882568,-1.6937296390533447
-1.7241113185882568,-1.6918303966522217
-1.7241113185882568,-1.6918303966522217
-1.5228378772735596,-1.6880336999893188
-1.5211156606674194,-1.485865592956543
-1.5211156606674194,-1.4825056791305542
-1.5211156606674194,-1.4825056791305542
-1.5193934440612793,-1.4825056791305542
-1.3468658924102783,-1.4774718284606934
-1.3468658924102783,-1.3096506595611572
-1.3483966588974,-1.3096506595611572
-1.3483966588974,-1.312630295753479
-1.3514580726623535,-1.312630295753479
-1.1907718181610107,-1.3215868473052979
-1.1934665441513062,-1.1670560836791992
-1.1948137283325195,-1.1696975231170654
-1.196160912513733,-1.1749858856201172
-1.0203853845596313,-1.1749858856201172
-1.023829460144043,-1.0079528093338013
-1.026125431060791,-1.0113551616668701
-1.0284212827682495,-1.0158964395523071
-1.031865119934082,-1.0204479694366455
-0.9014498591423035,-1.0272939205169678
-0.9074646234512329,-0.9054597616195679
-0.9094694256782532,-0.9074646234512329
-0.844136655330658,-0.9094694256782532
-0.8459960222244263,-0.844136655330658
-0.8459960222244263,-0.8459960222244263
-0.8478553295135498,-0.8459960222244263
-0.7374765872955322,-0.8478553295135498
-0.7398931384086609,-0.7374765872955322
-0.743115246295929,-0.7415041923522949
-0.7447261810302734,-0.743115246295929
-0.6621240973472595,-0.747948169708252
-0.6635491251945496,-0.6621240973472595
-0.6656867861747742,-0.6635491251945496
-0.6671118140220642,-0.6656867861747742
-0.6685368418693542,-0.6671118140220642
